Date,Move Minutes count,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms)
12-08-2024,181.0,1454.5,4389.756115,88.93377483443709,115.0,66.0,0.3865426737526906,0.4783432435827112,0.324931329,10244.0,1294051.3403948843
13-08-2024,180.0,1454.5,4193.9305638703445,83.81677019,105.0,66.0,0.4150355930498279,0.509161054,0.3131599232814395,11040.0,1265334.1412537172
14-08-2024,60.0,1454.5,1700.920656702879,85.79239766081871,127.0,67.0,0.4695927043542409,0.4695927043542409,0.4695927043542409,10810.0,309336.3603893183
15-08-2024,61.0,1454.5,3015.839024153997,79.34574468085107,118.0,57.0,0.4171248028822195,0.5406957171548081,0.293553889,8100.0,1025847.9350003786
17-08-2024,61.0,1454.4999999999998,1317.4289514462516,84.85040983606558,105.0,62.0,0.3552017146171033,0.3552017146171033,0.3552017146171033,8975.0,934927.3517419174
21-08-2024,61.0,1454.5,2932.9897523145946,87.55673758865248,117.0,69.0,0.4031634412545349,0.5241845365153455,0.2821423459937244,9886.0,812847.1357433349
22-08-2024,60.0,1454.5,1577.902040941342,92.11409395973156,111.0,67.0,0.4349645076536568,0.4349645076536568,0.4349645076536568,4164.0,1282629.4290926307
23-08-2024,,1454.5000000000002,1038.126481987661,86.24537037037037,112.0,67.0,0.2896871068353812,0.2896871068353812,0.2896871068353812,8372.0,
24-08-2024,60.0,1454.5,3244.3021677111365,88.16826923076923,119.0,65.0,0.4501102797143743,0.6295791463697135,0.2706414130590351,9759.0,799740.8264641091
26-08-2024,60.0,1454.5,2885.9163024058435,96.46153846153848,116.0,65.0,0.4001197709096681,0.5216930614358304,0.2785464803835059,14663.0,62061.604099184275
27-08-2024,252.0,1454.5,7145.087562715812,91.48113207547168,120.0,71.0,0.4603088136785587,0.8153548699247135,0.2824042251383309,15598.0,816729.0677579828
28-08-2024,60.0,1454.5,1279.7701915192508,85.37434554973822,109.0,65.0,0.353159006528613,0.353159006528613,0.353159006528613,10661.0,723906.8019262366
30-08-2024,88.0,1558.651337616696,3270.350968259842,93.45454545454544,122.0,66.0,0.5223506354144583,1.2935836948467476,0.2615283118022613,7715.0,758619.0
31-08-2024,142.0,1759.3854007416126,5800.165280148566,93.95121951219512,124.0,63.0,0.4804897938966611,1.4549292731161267,0.2615283118022613,8035.0,1652517.0
01-09-2024,,1659.2499489784238,58.73822175744015,106.61151079136692,130.0,79.0,0.3411238690817058,0.3411238690817058,0.3411238690817058,146.0,
03-09-2024,197.0,1984.968236196038,7727.318938047938,86.1559633,108.0,64.0,0.5340381108381849,1.4119242254153672,0.2501575156369456,11467.0,4731928.0
04-09-2024,147.0,1963.450251008352,5859.941994,85.68518518518519,108.0,69.0,0.6087768180992619,1.4197298003128365,0.2523727876372189,10786.0,4401899.0
05-09-2024,101.0,1790.295326559468,3272.876947805928,88.30487805,110.0,72.0,0.5735022612597392,1.6802364933892793,0.2501575156369456,7442.0,2162620.0
06-09-2024,64.0,1814.2714597206357,4551.713982057583,83.55045871559633,109.0,67.0,0.4181336298474335,1.5940761208744698,0.2501575156369456,8239.0,2558292.0
07-09-2024,69.0,1707.703725,3136.5788400941483,92.24050632911391,109.0,70.0,0.5017662784754512,1.807683201239996,0.2501575156369456,5480.0,799625.0
