Date,Calories (kcal),Distance (m),Step count
16-07-2024,1831.1357923684454,4962.084056,7926
17-07-2024,1999.6899643272254,10166.5733,6482
18-07-2024,1795.581708346312,3821.736487,7473
22-07-2024,,,
23-07-2024,1707.4486568142288,1054.445278,7409
24-07-2024,,,2098
25-07-2024,,,3040
26-07-2024,,,1912
27-07-2024,1733.0695956973736,1758.664089,5642
28-07-2024,,,
29-07-2024,1698.0525635197062,932.0543082,10477
30-07-2024,1726.9525870885484,1820.173396,10154
31-07-2024,1755.7590372646928,2626.698505,8430
01-08-2024,1802.361590123113,4325.736224,12663
02-08-2024,1711.914395908766,1209.47384,7676
03-08-2024,,,
04-08-2024,,,26
05-08-2024,1782.260310461651,3459.584745,8463
06-08-2024,1780.049478747648,3632.187395,12772
07-08-2024,1708.2772955008725,1095.869914,7684
08-08-2024,,,12
09-08-2024,1754.0298020451755,2585.273869,8658
10-08-2024,,,1555
11-08-2024,,,16
12-08-2024,1808.7342543500172,4389.756115,10244
13-08-2024,1801.064269355739,4193.930564,11040
14-08-2024,1721.9751368037778,1700.920657,10810
15-08-2024,1768.7593975604632,3015.839024,8100
16-08-2024,,,12
17-08-2024,1713.0312395864134,1317.428951,8975
18-08-2024,,,1899
19-08-2024,,,5022
20-08-2024,,,6194
21-08-2024,1762.919628137886,2932.989752,9886
22-08-2024,1729.951463,1577.902041,4164
23-08-2024,1705.2040542360508,1038.126482,8372
24-08-2024,1773.0746247002057,3244.302168,9759
25-08-2024,,,139
26-08-2024,1752.8654961413326,2885.916302,14663
27-08-2024,1887.0144321964979,7145.087563,15598
28-08-2024,1708.8116198174912,1279.770192,10661
29-08-2024,,,15
30-08-2024,1558.651338,3270.350968,7715
31-08-2024,1759.385401,5800.16528,8035
01-09-2024,1688.700059010385,58.73822176,146
02-09-2024,1833.6505324631094,4609.857645,248
03-09-2024,1984.968236,7727.318938,11467
04-09-2024,1963.450251,5859.941994,10786
05-09-2024,1790.295327,3272.876948,7442
06-09-2024,1814.27146,4551.713982,8239
07-09-2024,1707.703725,3136.57884,5480
08-09-2024,1696.6773724908717,331.9123867,556
09-09-2024,1791.313851,4356.407907,6895
10-09-2024,1845.736483,5744.09123,8107
11-09-2024,2043.661751,6664.81147,9803
12-09-2024,1794.148378,5285.371786,10920
13-09-2024,1992.835193,10130.59251,12380
14-09-2024,1856.064258,5075.47517,8058
15-09-2024,1702.6146316315871,505.2932717,328
16-09-2024,1797.959143,4033.173946,6187
17-09-2024,1820.27289,4743.005134,4437
18-09-2024,1777.707788,4358.421546,5664
19-09-2024,1660.575541,684.4664277,1078
20-09-2024,1781.677791,879.1142864,1392
21-09-2024,1836.836757,3242.250025,4486
22-09-2024,1665.41493,760.4893839,1249
23-09-2024,1677.900402,917.4263845,1359
24-09-2024,1738.864294,725.3851442,1075
25-09-2024,1818.617047,4006.719195,6716
26-09-2024,1829.354696,5308.848546,9244
27-09-2024,1727.402721,4274.752336,7521
28-09-2024,1701.0444194765166,438.9859764,24
29-09-2024,1848.603187,1535.95454,1676
30-09-2024,1719.956984,1192.575535,1847
01-10-2024,1918.803336,4828.461414,9097
02-10-2024,1777.95441,1733.111896,2540
03-10-2024,1963.728354,5537.874852,8680
04-10-2024,1963.805285,6534.952667,9778
05-10-2024,1756.300756,757.6551831,1146
06-10-2024,1714.7991230838861,951.1025607,1463
07-10-2024,1695.2093382726805,282.4525403,495
08-10-2024,1827.172153,4215.513003,7211
09-10-2024,1896.54045,5751.023422,9404
10-10-2024,1814.368493,4347.972735,4830
11-10-2024,1880.581743,5656.977699,8377
12-10-2024,1695.8514703144056,304.4976178,529
13-10-2024,1782.877324,1237.808286,2056
14-10-2024,1759.512592,2764.805733,4687
15-10-2024,1669.584003,199.0654178,1590
16-10-2024,1759.486331,7086.020384,10751
17-10-2024,1709.1156999902985,755.2507314,1149
18-10-2024,1738.897746,7219.541564,9480
19-10-2024,1708.400477,639.3027369,1016
20-10-2024,1708.088611,2697.709814,4033
21-10-2024,1824.720472,2534.230518,3144
22-10-2024,1713.214989,982.7637374,1499
23-10-2024,1827.7731766174793,4658.894286,4404
24-10-2024,1772.9079967747757,2864.868032,3094
25-10-2024,1659.249949,3594.810252,3518
26-10-2024,1717.7660755791358,1054.303301,1644
