Date,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Distance (Km),Calories (1000kcal),Step count(1000),Average speed (m/s)
2024-08-30,93.45454545,122.0,66.0,3.270350968,2.180902432,7.715,0.522350635
2024-08-31,93.95121951,124.0,63.0,5.80016528,2.661979075,8.035,0.480489794
2024-09-03,86.1559633,108.0,64.0,7.727318938,3.493596952,11.467,0.534038111
2024-09-04,85.68518519,108.0,69.0,5.859941994,3.141232623,10.786,0.608776818
2024-09-05,88.30487805,110.0,72.0,3.272876948,2.273139307,7.442,0.573502261
2024-09-06,83.55045872,109.0,67.0,4.551713982,2.533768836,8.239,0.41813363
2024-09-07,92.24050633,109.0,70.0,3.13657884,1.943333096,5.48,0.501766278
2024-09-08,94.85191638,117.0,67.0,0.331912387,1.048444078,1.45775,0.623556871
2024-09-09,96.43728223,121.0,68.0,4.356407907,2.342876609,6.895,0.407343715
2024-09-10,97.52093023,117.0,71.0,5.74409123,2.723825137,8.107,0.545693815
2024-09-11,87.265625,125.0,71.0,6.66481147,3.173825822,9.803,0.657546924
2024-09-12,88.35174419,109.0,66.0,5.285371786,2.970857127,10.92,0.493113385
2024-09-13,89.76630435,112.0,75.0,10.13059251,3.927917785,12.38,0.731400549
2024-09-14,93.97058824,125.0,81.0,5.07547517,2.621449888,8.058,0.568610032
2024-09-15,100.7149533,118.0,78.0,0.505293272,1.007932077,1.45775,0.501180226
2024-09-16,97.12369338,121.0,71.0,4.033173946,2.216895625,6.187,0.523488061
2024-09-17,94.6124031,119.0,68.0,4.743005134,2.095598128,4.437,0.615916368
2024-09-18,92.49350649,111.0,71.0,4.358421546,2.173665463,5.664,0.66848376
2024-09-19,94.04247104,114.0,61.0,0.684466428,1.33222247,5.123909091,0.37729627
2024-09-20,96.50614754,144.0,72.0,0.879114286,1.570778329,6.670666667,0.672201544
2024-09-21,96.9527972,119.0,66.0,3.242250025,1.90252608,4.486,0.687925073
2024-09-22,91.23344948,115.0,68.0,0.760489384,1.066844454,1.249,0.436694648
2024-09-23,94.20454545,120.0,65.0,0.917426385,1.337251518,4.411555556,0.470792748
2024-09-24,99.37587413,116.0,57.0,0.725385144,1.429513036,5.692181818,0.593916684
2024-09-25,93.24157303,127.0,71.0,4.006719195,2.295601761,6.716,0.464435366
2024-09-26,89.85784314,114.0,69.0,5.308848546,2.788375644,9.244,0.541089598
2024-09-27,94.88700565,120.0,63.0,4.274752336,2.370767449,7.521,0.481397359
2024-09-28,98.03125,114.0,73.0,0.438985976,1.224046699,4.471142857,0.399944167
2024-09-29,99.38619403,123.0,69.0,1.53595454,1.338200299,1.676,0.498697184
2024-09-30,98.77097902,120.0,67.0,1.192575535,1.429788548,4.411555556,0.538172473
2024-10-01,94.6993007,116.0,67.0,4.828461414,2.763801128,9.097,0.636587113
2024-10-02,96.08627451,123.0,62.0,1.733111896,1.797987073,7.4823,0.696042852
2024-10-03,85.24242424,101.0,70.0,5.537874852,2.837501563,8.68,0.607668251
2024-10-04,85.04081633,119.0,65.0,6.534952667,3.090190749,9.778,0.683151434
2024-10-07,87.63684211,114.0,56.0,0.28245254,1.204308148,4.411555556,0.343126427
2024-10-08,92.27777778,119.0,68.0,4.215513003,2.37506474,7.211,0.664124488
2024-10-09,93.59489051,120.0,66.0,5.751023422,2.915244888,9.404,0.609377877
2024-10-10,98.03587444,122.0,62.0,4.347972735,2.110037905,4.83,0.665066978
2024-10-11,91.16763006,119.0,61.0,5.656977699,2.769611669,8.377,0.568613419
2024-10-12,84.13636364,97.0,73.0,0.304497618,1.237757227,4.471142857,0.585563456
2024-10-14,95.08544304,114.0,76.0,2.764805733,1.835240367,4.687,0.522368441
2024-10-15,98.87860082,123.0,72.0,0.199065418,1.346572705,5.692181818,0.555324274
2024-10-16,88.39908257,111.0,69.0,7.086020384,3.180032839,10.751,0.70936542
2024-10-17,99.81132075,118.0,75.0,0.755250731,1.351816832,5.123909091,0.753152605
2024-10-18,93.58238636,113.0,71.0,7.219541564,3.026838737,9.48,0.577801969
2024-10-19,95.1595092,119.0,70.0,0.639302737,1.050143653,1.016,0.643898721
2024-10-21,94.63541667,119.0,64.0,2.534230518,1.635160114,3.144,0.553687712
2024-10-22,94.0,97.0,91.0,0.982763737,1.473405702,5.692181818,0.581770607
2024-10-23,84.25877193,114.0,66.0,4.658894286,1.991291116,4.404,0.619116176
2024-10-24,82.68867925,110.0,62.0,2.864868032,1.580663284,3.094,0.642528234
2024-10-25,88.08273381,111.0,66.0,3.594810252,1.73407687,3.518,0.565324814
2024-10-26,101.1804124,115.0,73.0,1.083639955,1.17129505,1.711,0.713018009
2024-10-27,95.32978723,117.0,68.0,0.461754125,1.014753468,1.45775,0.515025892
2024-10-28,95.55411255,113.0,61.0,3.884964778,1.760337029,3.383,0.651159896
2024-10-29,81.99494949,116.0,64.0,4.944543127,2.015537265,4.411,0.48911086
2024-10-31,97.72747748,121.0,60.0,2.71636528,1.72602392,4.358,0.382724884
2024-11-01,100.7073171,123.0,70.0,2.659162158,1.659771684,3.879,0.511693704
2024-11-02,99.70209059,122.0,72.0,1.64317319,1.351989868,2.512,0.619543739
2024-11-03,98.3641115,124.0,62.0,0.985135734,1.136469341,1.539,0.569643911
2024-11-04,98.09893993,121.0,69.0,3.991638556,1.859888948,4.044,0.668232737
2024-11-05,88.06730769,104.0,69.0,5.017890801,2.046372712,4.475,0.583635332
2024-11-06,85.51680672,106.0,71.0,4.974007602,1.995146886,4.082,0.729291389
2024-11-07,82.3030888,117.0,58.0,4.538710014,1.989096046,4.496,0.700156509
2024-11-08,80.15340909,109.0,61.0,6.434396172,2.369934003,5.5,0.641442168
2024-11-09,102.9513889,118.0,71.0,0.517459115,1.260539584,4.471142857,0.502824025
2024-11-10,93.54850746,123.0,58.0,0.855906377,1.095333178,1.367,0.361718397
2024-11-11,95.08638743,117.0,67.0,5.450352621,2.579203532,8.158,0.535897857
2024-11-12,91.49641577,116.0,69.0,5.930928601,2.790997239,9.245,0.628071662
2024-11-13,89.1945812,141.0,68.0,8.250111252,3.276256881,10.673,0.512559854
2024-11-14,96.62,111.0,84.0,0.619350245,1.326939317,5.123909091,0.386360202
2024-11-15,93.36394558,116.0,61.0,1.3468251,1.603056409,6.670666667,0.381836428
